object 0 1 
a 0.654367 0.708176 
b 1.207136 1.452512 
c 1.659806 1.377105 
d 1.035346 1.542076 
e 1.350319 1.350295 
f 1.678633 1.528587 
g 1.692400 1.178032 
h 1.611074 1.642552 
i 1.331899 1.096149 
j 1.185286 0.972863 
k 0.875744 0.807024 
l 0.984702 1.077999 
m 0.803977 0.967893 
n 0.614691 0.790167 
o 0.941003 1.068542 
p 0.947204 0.919679 
q 0.860767 1.027674 
r 1.507357 1.291678 
s 0.902626 0.946414 
t 1.045200 1.211929 
u 0.776768 0.897334 
v 1.037040 0.596554 
w 1.060415 2.157149 
x 1.128201 1.015212 
y 1.177507 0.711350 
z 0.960770 0.745535 
aa 0.701639 1.098617 
ab 0.729005 0.889261 
ac 0.869264 1.073548 
ad 1.108226 1.022906 
